down,quarter,yardsToGo,yardlineNumber,defendersInTheBox,numberOfPassRushers,HomeScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreBeforePlay,VisitorScoreAfterPlay,PassLength,YardsAfterCatch,PlayResult,firstDown_Conversion
4,1,3,14,3,3,7,7,7,7,0,-1,-1,0
4,2,4,32,5,4,21,21,20,20,0,-2,-2,0
4,3,1,2,5,3,3,3,0,7,1,1,2,1
4,4,1,5,6,3,23,30,17,17,3,2,5,1
4,3,2,1,7,5,28,28,24,31,1,0,1,0
4,3,1,24,3,5,23,23,24,24,0,0,0,0
4,2,4,58,8,5,6,6,23,23,0,0,0,0
4,3,2,8,5,4,6,6,21,21,2,1,3,1
4,4,2,74,5,5,17,17,37,37,4,2,6,1
4,1,3,1,9,6,13,20,10,10,1,0,1,0
4,1,1,18,5,3,0,0,13,13,7,5,12,1
4,2,2,27,5,4,6,6,7,7,2,2,4,1
4,1,4,7,6,3,6,6,7,7,0,0,0,0
4,3,2,10,6,2,14,14,21,21,0,0,0,0
4,1,14,14,8,4,6,6,3,3,-1,-3,-4,0
4,2,2,1,8,3,21,21,0,7,1,0,1,0
4,1,1,16,6,4,3,3,6,6,3,0,3,1
4,3,5,14,4,3,10,10,7,7,7,4,11,1
4,2,5,3,6,4,10,17,10,10,1,2,3,0
4,4,1,20,8,5,14,14,31,31,1,1,2,1
4,3,2,11,6,4,31,31,10,10,1,0,1,0
4,4,1,29,8,3,28,28,42,42,4,5,9,1
4,4,1,23,5,5,13,13,24,24,9,0,9,1
4,2,1,25,4,3,20,20,14,14,2,2,4,1
4,2,1,13,7,5,20,20,17,17,1,0,1,0
4,4,4,4,4,5,23,23,31,31,0,-3,-3,0
4,4,5,14,6,3,27,27,37,37,1,0,1,0
4,3,1,2,6,5,31,31,10,17,1,1,2,1
4,4,3,26,7,3,40,40,20,20,3,2,5,1
4,3,4,6,10,5,27,27,13,13,6,0,6,1
4,1,5,26,4,4,10,10,10,10,3,6,9,1
4,1,2,6,6,4,3,3,10,10,-1,-3,-4,0
4,2,5,22,3,3,0,0,3,3,13,2,15,1
4,1,1,5,5,4,7,7,7,7,0,-6,-6,0
4,3,2,39,7,5,3,3,13,13,-1,-11,-12,0
4,3,3,60,3,4,28,28,6,6,1,1,2,0
4,1,2,5,5,6,10,10,6,6,1,4,5,1
4,2,6,26,6,4,20,20,13,13,3,1,4,0
4,4,5,24,7,5,17,17,0,0,3,2,5,0
4,2,5,51,6,4,20,20,13,13,0,0,0,0
4,4,1,4,6,4,17,17,6,6,0,-2,-2,0
4,2,1,23,7,5,17,17,3,3,2,2,4,1
4,3,2,11,7,4,6,6,17,17,1,3,4,1
4,1,1,7,7,5,6,6,3,3,2,1,3,1
4,3,5,23,6,4,3,3,21,21,5,6,11,1
4,4,5,3,3,5,21,21,10,17,3,0,3,0
4,4,5,34,4,4,7,7,24,24,0,0,0,0
4,1,1,1,6,5,0,0,13,20,1,0,1,0
4,3,5,14,3,4,7,7,24,24,3,7,10,1
4,2,3,19,8,6,13,13,7,7,4,8,12,1
4,1,1,62,7,4,6,6,13,13,4,2,6,1
4,4,6,12,6,5,40,40,34,34,-1,-1,-2,0
4,3,2,8,7,5,3,3,3,3,4,1,5,1
4,2,2,11,4,4,10,10,13,13,2,1,3,1
4,3,3,30,7,4,34,34,28,28,2,3,5,1
4,4,1,14,6,5,13,13,7,7,3,2,5,1
4,3,1,13,4,5,13,13,31,31,6,0,6,1
4,4,3,8,5,3,6,12,24,24,5,3,8,1
4,4,1,18,4,6,20,20,3,3,5,3,8,1
4,1,3,5,5,4,13,13,6,6,0,0,0,0
4,3,4,13,8,5,23,23,13,13,2,2,4,0
4,2,7,30,7,5,24,24,6,6,1,11,12,1
4,3,1,42,8,3,14,14,0,0,11,1,12,1
4,1,2,13,7,3,13,13,7,7,6,0,6,1
4,2,3,4,5,3,7,7,14,14,3,1,4,1
4,2,1,1,6,3,17,17,7,7,-1,-3,-4,0
4,2,4,24,4,5,21,21,17,17,2,10,12,1
4,4,3,2,5,4,7,14,27,27,1,1,2,0
4,2,9,34,5,2,14,14,6,6,5,1,6,0
4,4,3,14,7,6,34,34,13,13,2,5,7,1
4,2,1,1,6,3,20,27,14,14,1,0,1,0
4,2,3,16,5,5,14,14,13,13,4,0,4,1
4,2,1,2,6,4,20,20,21,21,1,1,2,1
4,3,1,3,7,4,23,23,20,20,1,1,2,1
4,4,4,20,5,4,6,6,0,0,6,5,11,1
4,3,8,16,5,3,24,24,10,10,6,0,6,0
4,4,1,3,3,4,37,37,23,23,0,0,0,0
4,1,4,6,3,3,10,10,13,13,3,1,4,0
4,4,1,19,7,3,28,28,31,31,0,-2,-2,0
4,3,12,18,7,2,0,0,31,31,1,4,5,0
4,3,5,32,6,3,28,28,20,20,0,-3,-3,0
4,3,2,4,5,4,13,20,6,6,1,3,4,1
4,2,4,2,6,4,10,10,13,20,2,0,2,0
4,4,3,11,4,3,6,6,27,27,0,0,0,0
4,4,2,30,5,4,7,7,10,10,1,0,1,0
4,4,4,19,7,4,24,24,21,21,11,1,12,1
4,2,3,25,6,4,24,24,23,23,0,-2,-2,0
4,1,1,27,5,3,6,6,10,10,4,2,6,1
4,1,3,33,5,4,10,10,3,3,1,5,6,1
4,1,3,40,7,4,13,13,6,6,3,1,4,1
4,3,11,7,8,4,17,24,6,6,5,2,7,0
4,4,6,15,7,3,20,20,37,37,3,2,5,0
4,3,11,28,4,4,17,17,20,20,2,0,2,0
4,2,1,13,6,4,10,10,23,23,1,0,1,0
4,3,2,21,3,5,23,23,23,23,3,1,4,1
4,4,2,26,8,4,27,27,27,27,2,2,4,1
4,2,3,19,5,3,17,17,14,14,0,-1,-1,0
4,4,7,1,7,4,34,41,21,21,1,0,1,0
4,2,4,88,5,4,17,17,13,13,9,1,10,1
4,2,3,7,6,4,23,30,13,13,1,6,7,1
4,4,1,1,7,3,23,30,27,27,1,0,1,0
4,4,6,51,4,7,17,17,14,14,4,4,8,1
4,1,4,1,8,5,14,14,13,13,1,1,2,0
4,1,1,29,7,4,13,13,0,0,1,7,8,1
4,2,1,33,8,3,23,23,20,20,0,0,0,0
4,1,2,28,6,3,0,0,7,7,3,1,4,1
4,1,3,56,8,3,10,10,10,10,4,2,6,1
4,2,3,9,7,3,14,14,14,14,0,0,0,0
4,4,1,12,8,5,37,37,10,10,2,5,7,1
4,3,4,6,7,4,27,34,17,17,4,2,6,1
4,4,1,15,5,3,34,34,7,7,1,4,5,1
4,2,1,31,5,5,24,24,7,7,1,5,6,1
4,2,7,1,5,3,3,3,24,24,-1,-3,-4,0
4,3,1,11,5,0,17,17,0,0,-1,-3,-4,0
4,3,2,14,6,3,31,31,28,28,-1,-1,-2,0
4,3,2,4,7,2,7,14,31,31,2,2,4,1
4,4,7,23,8,3,42,42,34,34,0,-1,-1,0
4,2,5,29,5,3,6,6,23,23,1,0,1,0
4,1,3,5,6,5,6,6,0,0,4,1,5,1
4,2,3,23,5,5,17,17,23,23,0,0,0,0
4,2,7,6,8,5,3,3,14,14,3,0,3,0
4,4,1,9,4,5,37,37,13,13,1,0,1,0
4,4,7,9,4,5,14,21,42,42,2,7,9,1
4,3,6,14,4,5,20,20,7,7,0,0,0,0
4,2,2,21,7,4,0,0,17,17,3,0,3,1
4,1,2,2,5,6,7,7,14,14,0,-1,-1,0
4,3,5,9,8,3,21,21,20,20,2,0,2,0
4,1,11,6,4,4,13,13,13,13,5,2,7,0
4,4,1,21,6,4,14,14,6,6,1,10,11,1
4,4,2,5,4,4,20,20,42,49,2,3,5,1
4,1,1,12,7,5,7,7,13,13,0,0,0,0
4,3,4,38,4,3,23,23,23,23,0,-1,-1,0
4,1,1,13,7,4,14,14,7,7,1,0,1,0
4,3,2,2,9,4,14,14,6,13,1,1,2,0
4,2,1,7,8,6,20,20,0,0,2,0,2,1
4,3,1,3,5,3,23,23,23,30,2,1,3,1
4,2,5,12,6,4,13,13,6,6,3,7,10,1
4,3,1,78,6,4,24,24,7,7,2,1,3,1
4,4,1,5,8,5,7,14,3,3,1,4,5,1
4,3,1,11,7,5,7,7,7,7,0,0,0,0
4,2,3,22,7,4,20,20,21,21,1,2,3,0
4,3,1,5,6,4,24,24,14,14,0,0,0,0
4,3,2,4,4,2,14,14,28,28,2,0,2,0
4,3,4,1,7,4,31,31,21,28,1,0,1,0
4,2,1,21,8,5,0,0,3,3,0,-1,-1,0
4,3,1,8,11,5,0,0,27,27,4,1,5,1
4,2,4,2,3,3,6,6,21,28,1,1,2,0
4,1,1,17,5,3,3,3,3,3,0,0,0,0
4,2,3,61,6,5,24,24,21,21,2,5,7,1
4,4,7,17,5,3,10,10,37,37,11,2,13,1
4,3,3,1,5,4,10,10,7,14,1,0,1,0
4,3,7,10,6,4,17,17,24,24,0,-2,-2,0
4,4,1,16,7,4,21,21,7,7,0,-1,-1,0
4,2,5,25,7,5,20,20,0,0,4,2,6,1
4,3,2,56,7,3,6,6,24,24,1,0,1,0
4,2,5,7,6,5,13,13,17,17,1,3,4,0
4,4,1,20,6,3,34,34,40,40,8,1,9,1
4,3,3,3,5,6,13,13,6,6,3,0,3,0
4,2,2,17,7,4,10,10,20,20,4,0,4,1
4,2,3,7,5,3,10,10,17,17,1,5,6,1
4,1,2,8,5,4,13,13,0,0,0,0,0,0
4,1,10,3,8,5,13,13,0,0,1,1,2,0
4,3,3,4,5,2,10,10,20,27,2,2,4,1
4,3,2,41,7,3,14,14,10,10,9,2,11,1
4,4,5,11,7,4,28,28,31,31,2,0,2,0
4,1,1,23,3,6,6,6,6,6,3,5,8,1
4,3,3,7,4,4,24,24,7,7,1,0,1,0
4,3,5,40,7,4,23,23,34,34,0,0,0,0
4,1,6,9,7,3,10,10,13,13,-1,0,-1,0
4,3,1,30,11,6,17,17,31,31,1,4,5,1
4,4,2,1,6,5,6,6,7,7,0,-2,-2,0
4,2,3,11,6,4,14,14,10,10,-1,0,-1,0
4,2,2,2,7,3,3,3,7,7,1,0,1,0
4,1,2,48,4,5,14,14,7,7,-1,-3,-4,0
4,4,1,5,7,3,40,40,20,20,0,0,0,0
4,1,1,11,7,4,0,6,10,10,9,2,11,1
4,4,3,3,7,4,34,34,6,6,1,0,1,0
4,2,2,9,8,4,24,24,0,0,1,3,4,1
4,4,1,17,4,5,40,40,17,17,1,0,1,0
4,2,3,6,8,5,24,24,20,27,2,4,6,1
4,1,4,1,8,3,13,13,0,7,1,0,1,0
4,4,8,13,8,2,10,10,34,34,1,0,1,0
4,2,4,3,6,3,6,6,13,20,3,0,3,0
4,3,6,4,5,5,31,38,3,3,3,1,4,0
4,2,1,5,6,2,7,7,17,17,2,0,2,1
4,1,7,41,8,4,7,7,6,6,2,0,2,0
4,2,9,2,3,5,0,0,17,17,1,7,8,0
4,2,8,29,3,3,7,7,6,6,2,0,2,0
4,1,2,2,7,2,7,7,0,6,2,0,2,0
4,3,2,3,5,4,3,3,23,23,1,2,3,1
4,2,4,31,7,4,6,6,3,3,2,1,3,0
4,1,3,18,6,2,3,3,3,3,3,0,3,0
4,2,3,35,7,5,17,17,10,10,2,1,3,0
4,4,5,1,6,4,13,13,21,28,1,0,1,0
4,4,4,1,8,5,28,28,21,21,0,-4,-4,0
4,1,5,45,6,5,13,13,13,13,7,1,8,1
4,2,1,12,7,3,0,0,0,0,1,3,4,1
4,1,5,2,9,4,13,13,6,6,1,1,2,0
4,4,5,4,5,3,34,34,13,13,0,0,0,0
4,3,2,10,4,4,21,21,27,27,1,3,4,1
4,3,1,36,6,4,6,6,20,20,5,0,5,1
4,3,2,36,9,6,20,20,34,34,0,0,0,0
4,3,6,44,5,4,0,0,34,34,0,0,0,0
4,1,6,35,4,4,6,6,7,7,5,1,6,0
4,2,8,5,6,3,13,20,14,14,4,1,5,0
4,1,4,26,7,3,3,3,0,0,3,0,3,0
4,2,5,26,7,5,20,20,23,23,2,0,2,0
4,2,1,12,7,3,6,6,10,10,0,0,0,0
4,3,2,49,6,5,31,31,31,31,-1,-1,-2,0
4,1,3,1,7,3,13,13,3,3,1,1,2,0
4,3,4,2,7,6,17,17,3,10,1,1,2,0
4,1,5,2,5,5,6,6,7,7,1,1,2,0
4,1,1,31,6,4,6,6,13,13,2,7,9,1
4,2,5,16,8,5,20,20,24,24,1,6,7,1
4,2,3,8,3,3,13,13,6,6,3,3,6,1
4,2,9,5,6,4,0,0,13,13,-1,0,-1,0
4,3,3,14,5,3,14,14,0,0,0,0,0,0
4,1,8,9,9,4,10,17,3,3,1,8,9,1
4,3,1,16,6,5,34,34,17,17,1,0,1,0
4,1,4,3,7,5,3,10,10,10,2,1,3,0
4,2,7,3,7,6,14,21,10,10,3,0,3,0
4,2,3,27,7,5,17,17,6,6,1,0,1,0
4,4,6,1,7,3,40,40,34,34,2,0,2,0
4,1,2,27,3,5,6,6,10,10,1,2,3,1
4,4,2,9,6,3,40,40,31,31,5,0,5,1
4,1,1,64,5,5,7,7,6,6,3,0,3,1
4,4,3,2,5,3,6,6,40,40,2,0,2,0
4,3,10,6,5,4,28,28,27,27,4,4,8,0
4,3,3,3,4,3,31,31,23,23,0,-3,-3,0
4,4,10,23,6,3,31,31,3,3,8,2,10,0
4,3,1,15,5,5,0,0,6,6,1,4,5,1
4,2,7,3,9,4,20,20,24,31,3,0,3,0
4,3,2,16,3,3,28,28,7,7,9,3,12,1
4,3,2,18,5,4,21,21,24,24,9,0,9,1
4,2,1,17,4,3,0,0,6,6,2,14,16,1
4,2,1,13,5,6,21,21,10,10,2,6,8,1
4,3,5,14,5,4,21,21,0,0,1,3,4,0
4,3,4,10,6,3,13,13,34,34,3,2,5,1
4,2,3,11,3,4,10,10,17,17,1,6,7,1
4,3,4,36,7,4,23,23,17,17,5,1,6,1
4,4,6,7,7,4,23,23,17,17,3,1,4,0
4,3,9,7,3,3,28,28,7,14,2,5,7,0
4,2,7,3,6,4,24,24,20,20,-1,-1,-2,0
4,1,13,10,4,5,3,3,6,6,0,0,0,0
4,4,3,3,4,3,23,30,21,21,2,1,3,0
4,4,1,12,3,5,6,6,24,24,2,0,2,1
4,2,3,6,7,4,23,23,14,14,0,-3,-3,0
4,4,10,8,6,5,27,27,14,14,0,0,0,0
4,1,1,7,3,3,3,10,10,10,7,0,7,1
4,2,3,7,3,5,23,23,13,13,0,0,0,0
4,1,3,38,5,4,13,13,13,13,4,2,6,1
4,2,5,9,6,4,13,13,23,23,1,1,2,0
4,4,1,5,5,5,27,27,37,37,1,4,5,1
4,2,7,15,6,3,6,6,0,0,2,1,3,0
4,3,1,20,6,4,20,20,0,0,0,0,0,0
4,1,1,7,6,4,10,17,7,7,4,3,7,1
4,1,1,32,8,5,10,10,7,7,6,3,9,1
4,3,2,26,4,4,23,23,7,7,1,1,2,0
4,4,5,3,6,6,40,40,31,38,1,2,3,0
4,1,10,10,7,3,14,14,10,10,2,1,3,0
4,3,5,32,6,4,20,20,7,7,3,0,3,0
4,3,2,12,9,6,31,31,23,23,0,0,0,0
4,3,10,6,6,4,17,17,31,31,0,0,0,0
4,2,1,8,6,6,14,14,13,13,1,3,4,1
4,3,6,36,6,6,6,6,6,6,1,1,2,0
4,4,4,10,7,5,23,23,42,42,2,2,4,0
4,3,3,3,3,6,24,24,21,21,1,0,1,0
4,1,2,36,5,4,14,14,14,14,1,4,5,1
4,4,2,24,6,4,20,20,40,40,6,0,6,1
4,2,4,17,5,4,6,6,17,17,2,1,3,0
4,4,4,9,5,2,20,20,37,37,2,1,3,0
4,3,5,57,6,3,20,20,17,17,10,0,10,1
4,4,4,12,6,5,28,28,7,14,8,4,12,1
4,2,8,1,5,5,3,3,20,20,2,1,3,0
4,2,4,4,7,5,10,17,24,24,3,1,4,0
4,3,1,21,7,5,24,24,0,0,6,10,16,1
4,4,6,14,5,5,34,34,27,27,-1,-1,-2,0
4,2,2,22,7,3,10,10,0,0,3,8,11,1
4,1,2,1,6,4,0,0,6,13,1,0,1,0
4,4,1,6,5,3,23,23,10,10,4,1,5,1
4,2,3,16,6,4,24,24,23,23,2,3,5,1
4,1,3,26,8,5,3,3,3,3,1,5,6,1
4,4,2,7,8,3,31,31,6,6,0,0,0,0
4,2,2,21,7,4,13,13,23,23,3,2,5,1
4,4,1,9,5,3,0,0,28,28,0,0,0,0
4,4,2,21,4,6,13,13,0,0,4,4,8,1
4,1,1,4,6,3,14,21,13,13,4,0,4,1
4,3,1,24,4,4,6,6,0,0,1,14,15,1
4,3,1,19,7,4,0,0,6,6,0,0,0,0
4,2,2,1,3,4,3,3,24,30,1,0,1,0
4,2,10,21,5,4,0,0,7,7,-1,0,-1,0
4,2,3,30,7,3,10,10,24,24,1,2,3,0
4,3,1,5,6,6,14,20,23,23,2,3,5,1
4,4,1,13,6,4,24,24,0,0,3,0,3,1
4,2,5,2,7,6,17,17,23,23,1,2,3,0
4,3,10,15,5,4,14,14,27,27,1,0,1,0
4,3,5,16,6,4,7,7,34,34,13,1,14,1
4,2,1,1,5,3,21,21,14,21,1,0,1,0
4,3,6,5,7,4,23,23,6,6,2,1,3,0
4,1,1,8,5,5,7,7,7,7,0,-1,-1,0
4,2,2,6,6,4,23,30,14,14,3,3,6,1
4,2,4,2,6,4,20,27,0,0,2,0,2,0
4,2,6,4,5,5,24,24,14,21,3,1,4,0
4,4,1,6,6,4,7,7,31,31,-1,0,-1,0
4,3,4,2,6,4,28,28,10,10,1,1,2,0
4,2,14,17,7,5,20,20,10,10,4,0,4,0
4,2,1,1,8,5,14,14,13,20,1,0,1,0
4,2,1,9,9,3,24,24,7,7,0,0,0,0
4,2,2,12,5,3,17,17,3,3,7,0,7,1
4,1,4,5,4,3,13,13,0,0,1,3,4,0
4,4,18,35,8,5,10,10,21,21,1,5,6,0
4,1,1,15,5,5,13,13,14,14,7,0,7,1
4,3,1,3,5,5,6,6,24,24,0,0,0,0
4,3,6,19,6,3,34,34,23,23,0,-6,-6,0
4,1,1,18,8,3,3,3,14,14,0,0,0,0
4,2,1,5,8,2,7,7,14,14,2,1,3,1
4,4,1,65,6,3,21,21,31,31,1,3,4,1
4,1,1,8,6,4,13,19,7,7,1,7,8,1
4,4,6,40,6,4,37,37,10,10,1,1,2,0
4,1,5,2,6,4,3,3,13,20,2,0,2,0
4,2,1,5,8,5,7,7,3,3,1,1,2,1
4,1,1,21,4,3,7,7,3,3,5,5,10,1
4,1,4,5,7,3,0,6,14,14,4,1,5,1
4,2,3,24,4,3,17,17,7,7,3,4,7,1
4,1,9,4,4,3,14,14,3,3,4,1,5,0
4,4,4,31,6,3,3,3,3,3,1,18,19,1
4,2,2,58,8,5,17,17,21,21,1,1,2,0
4,4,1,24,7,3,42,42,17,17,4,5,9,1
4,1,3,36,5,4,13,13,6,6,-1,-2,-3,0
4,2,3,8,5,4,7,7,6,6,4,1,5,1
4,1,7,3,8,2,10,10,7,7,0,0,0,0
4,1,2,2,7,3,14,14,0,0,0,-9,-9,0
4,4,1,24,7,4,31,31,24,24,1,1,2,1
4,2,4,9,5,5,3,3,24,24,0,0,0,0
4,1,11,2,8,6,13,13,13,13,4,1,5,0
4,1,2,3,7,4,7,7,13,13,0,0,0,0
4,3,2,2,6,2,13,20,7,7,2,0,2,0
4,2,17,10,7,4,0,0,21,21,0,0,0,0
4,3,2,16,8,4,10,10,0,0,1,0,1,0
4,4,3,43,7,3,7,7,13,13,1,2,3,0
4,1,2,3,5,6,14,14,10,17,3,0,3,1
